x,y,category,description
3.4622834,2.0740004,general,Ties linking new Federal Liberal MP Gladys Liu to a secretive international influence arm of the Chinese Government have been uncovered by the ABC.
-2.583853,-1.1042259,general,"Australian Indigenous actor Ningali Lawford-Wolf passes away at the age of 52 in Edinburgh, Scotland, while touring with the stage production of The Secret River."
2.5854056,-4.685273,general,Julie Bishop tells Andrew Denton's Interview program about the night Chinese Foreign Minister Wang Yi gave her a public dressing down during a bilateral meeting in Beijing.
5.735696,-1.1793699,general,SAN FRANCISCO (AP) — Two music companies canceled appearances by Placido Domingo and the Los Angeles Opera said Tuesday it would launch an investigation in response to an Associated Press story in...
-1.573457,-1.8569707,general,"For decades, Placido Domingo, one of the most celebrated and powerful men in opera, has tried to pressure women into sexual relationships by dangling jobs and then sometimes punishing the women..."
9.411748,5.648136,general,NEW YORK (AP) — The warden at the federal jail where Jeffrey Epstein took his own life over the weekend was removed Tuesday and two guards who were supposed to be watching the financier were...
5.516241,-9.99366,general,HONG KONG (AP) — Flights resumed at Hong Kong's airport Wednesday morning after two days of disruptions marked by outbursts of violence highlighting the hardening positions of pro-democracy...
-1.7883766,3.4674623,general,"ALBANY, N.Y. (AP) — It was the early 1950s and Peter Vajda was a little boy attending a Catholic boarding school in the Bronx when he says a religious brother molested him.The brother is..."
4.8346,3.7782173,general,"WASHINGTON (AP) — A top Trump administration official said Tuesday that the famous inscription on the Statue of Liberty welcoming immigrants into the country is about ""people coming from Europe""..."
4.113304,4.4886184,general,"GUATEMALA CITY (AP) — A Guatemalan immigration agreement signed with the Trump administration won't work because the Central American nation does not have the resources, the country's new..."
4.8216434,3.2833152,general,"WASHINGTON (AP) — Responding to pressure from businesses and growing fears that a trade war is threatening the U.S. economy, the Trump administration is delaying most of the import taxes it..."
-3.9091277,-5.1002564,general,NEW YORK (AP) — The newly combined ViacomCBS will invest in more movies and TV shows and try to sell more advertising as it seeks to become a bigger player in the growing business of streaming...
-4.369662,5.5564566,sports,Celtic's Champions League dreams are over for another season after they concede four goals at home to go out to Romania's Cluj on away goals.
-4.341426,5.022188,sports,"Porto are knocked out of the Champions League after losing to Russian side FC Krasnodar, while last season's semi-finalists Ajax are through to the final play-off round."
-3.9035306,-2.0239768,sports,"BBC Sport looks at five reasons why you should care about Wednesday's Uefa Super Cup, as Liverpool take on Chelsea at the Besiktas Park in Istanbul."
3.7436094,-2.3313587,general,"Sen. Elizabeth Warren (D-MA) called for health care that is high-quality, affordable, and “gender-affirming” in a tweet posted Tuesday afternoon. However, she has not always held that position."
